page_name,page_id,region,regional_spend
SPOLU pro Prahu,101279652413889,avg_pha,717096
SPOLU pro Prahu,101279652413889,avg_stc,25554
SPOLU pro Prahu,101279652413889,avg_jhc,799
SPOLU pro Prahu,101279652413889,avg_plk,799
SPOLU pro Prahu,101279652413889,avg_kvk,0
SPOLU pro Prahu,101279652413889,avg_ulk,799
SPOLU pro Prahu,101279652413889,avg_lbk,799
SPOLU pro Prahu,101279652413889,avg_hkk,799
SPOLU pro Prahu,101279652413889,avg_pak,0
SPOLU pro Prahu,101279652413889,avg_vys,0
SPOLU pro Prahu,101279652413889,avg_jhm,799
SPOLU pro Prahu,101279652413889,avg_olk,799
SPOLU pro Prahu,101279652413889,avg_msk,799
SPOLU pro Prahu,101279652413889,avg_zlk,0
Tomio Okamura - SPD,179497582061065,avg_pha,43392
Tomio Okamura - SPD,179497582061065,avg_stc,46384
Tomio Okamura - SPD,179497582061065,avg_jhc,26434
Tomio Okamura - SPD,179497582061065,avg_plk,27930
Tomio Okamura - SPD,179497582061065,avg_kvk,18953
Tomio Okamura - SPD,179497582061065,avg_ulk,52868
Tomio Okamura - SPD,179497582061065,avg_lbk,24938
Tomio Okamura - SPD,179497582061065,avg_hkk,26434
Tomio Okamura - SPD,179497582061065,avg_pak,23441
Tomio Okamura - SPD,179497582061065,avg_vys,21446
Tomio Okamura - SPD,179497582061065,avg_jhm,56359
Tomio Okamura - SPD,179497582061065,avg_olk,33417
Tomio Okamura - SPD,179497582061065,avg_msk,66833
Tomio Okamura - SPD,179497582061065,avg_zlk,26434
Milion chvilek pro demokracii,728495140691300,avg_pha,159138
Milion chvilek pro demokracii,728495140691300,avg_stc,49410
Milion chvilek pro demokracii,728495140691300,avg_jhc,23742
Milion chvilek pro demokracii,728495140691300,avg_plk,20534
Milion chvilek pro demokracii,728495140691300,avg_kvk,7700
Milion chvilek pro demokracii,728495140691300,avg_ulk,23101
Milion chvilek pro demokracii,728495140691300,avg_lbk,15400
Milion chvilek pro demokracii,728495140691300,avg_hkk,21817
Milion chvilek pro demokracii,728495140691300,avg_pak,19251
Milion chvilek pro demokracii,728495140691300,avg_vys,16684
Milion chvilek pro demokracii,728495140691300,avg_jhm,64810
Milion chvilek pro demokracii,728495140691300,avg_olk,21817
Milion chvilek pro demokracii,728495140691300,avg_msk,33368
Milion chvilek pro demokracii,728495140691300,avg_zlk,20534
Generál Pavel,102389958091735,avg_pha,230683
Generál Pavel,102389958091735,avg_stc,167245
Generál Pavel,102389958091735,avg_jhc,103808
Generál Pavel,102389958091735,avg_plk,105730
